Tweet id	Tweet permalink	Tweet text	time	impressions	engagements	engagement rate	retweets	replies	favorites	user profile clicks	url clicks	hashtag clicks	detail expands	permalink clicks	embedded media clicks	app opens	app install attempts	follows	email tweet	dial phone	video views
5.20E+17	https://twitter.com/beet_keeper/status/520012104158289920	Poster session #ipres2014: NLA File Format and Software Knowledge Base. #microregistry(?) http://t.co/j5v8VHtiWf	2014-10-09 00:45 +0000	442	25	0.06	3	0	2	0	4	4	9	0	3	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520011832988155904	"Poster sessions #ipres2014: Metrics based re-appraisal (cc. @talei_m) relaxed initial ingest, reappraise after. http://t.co/AbkqLTlNc2"	2014-10-09 00:44 +0000	362	8	0.02	2	1	0	0	2	0	1	0	2	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520011449549062145	Pennock: #digitalpreservation is not 'currently' part of IT @britishlibrary they're an R+D dept. (Yes!!) #ipres2014	2014-10-09 00:42 +0000	187	4	0.02	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520011276529844224	Poster sessions #ipres2014: Biological Perspective of Digital Preservation. Second biological reference this year! http://t.co/P2OLqeIvDs	2014-10-09 00:42 +0000	128	5	0.04	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520010940205367296	Poster sessions #ipres2014: Legal aspects of #digitalpreservation. Good to see someone talking about this! http://t.co/oZaGaBK22c	2014-10-09 00:40 +0000	318	14	0.04	2	0	0	0	2	1	2	0	6	0	0	1	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520010754972332032	Poster sessions #ipres2014: Powrr. Enabling collaborative #digitalpreservation approaches. http://t.co/HAvE9yJHHW	2014-10-09 00:39 +0000	156	2	0.01	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519988800097746945	.@beet_keeper best I've got it Mode-y Gras - Canberra 2015. #ipres2014 #data #stats	2014-10-08 23:12 +0000	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519985696694493185	Trying to think of word plays and puns for a festival of data... (In Canberra) anyone... #ipres2014	2014-10-08 23:00 +0000	132	5	0.04	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519984368329043969	".@beet_keeper Sell that to your managers, directors, branch execs and parent departments now! #ipres2014"	2014-10-08 22:55 +0000	151	4	0.03	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519983749983789056	"Considering 'reputation'. My posit, this is as equally important for Archives, Libraries, and Museums. #ipres2014 http://t.co/kkVsZoRzMQ"	2014-10-08 22:52 +0000	507	30	0.06	5	1	3	1	2	1	8	0	7	0	0	0	2	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519982159423995904	(We know) Preserved data is more valuable data.  #ipres2014 Consider the egg. #ands http://t.co/Y51VtDJyAt	2014-10-08 22:46 +0000	240	11	0.05	1	1	1	0	2	2	2	0	2	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519775454593429504	.@adamretter think there'll just be the proceedings... Not sure if slides are being collected for release... #ipres2014(?)	2014-10-08 09:04 +0000	176	5	0.03	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519737316605059072	.@DavidBromage it's not going to go away I'm afraid! :| #ipres2014	2014-10-08 06:33 +0000	150	7	0.05	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519703429120139264	#IntrovertTime ^_^ #ipres2014	2014-10-08 04:18 +0000	140	4	0.03	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519699354194415618	Called out!!! I've been told to stop hacking and do test-driven development from the start! #ipres2014	2014-10-08 04:02 +0000	193	3	0.02	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519696178342944768	Though I think some weird folks do love to re-factor... Mentioning no names from my Twitter followers. #ipres2014	2014-10-08 03:49 +0000	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519695897785942016	But they might do some freakin' cool stuff on code with good foundation. #ipres2014	2014-10-08 03:48 +0000	137	1	0.01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519695772485308418	Hackers' aren't going to come in and re-factor for us! #ipres2014	2014-10-08 03:48 +0000	130	1	0.01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519695482763755521	Make your code interesting to 'hackers' by making it easy to get into and write new stuff for. #ipres2014	2014-10-08 03:47 +0000	437	14	0.03	4	1	1	1	0	2	5	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519695324202291201	Personal opinion - you have to do the mundane stuff to open it up to a wider audience. #ipres2014	2014-10-08 03:46 +0000	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519694907225550848	Are we big enough for open source? #ipres2014	2014-10-08 03:44 +0000	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519689545432850433	"Whoever this guy is, I think he's paraphrasing... #ipres2014"	2014-10-08 03:23 +0000	130	1	0.01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519689047715762178	Willingness to collaborate. @digitalfay #ipres2014	2014-10-08 03:21 +0000	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519688949753602048	User and not technologically led preservation tools. @digitalfay #ipres2014	2014-10-08 03:21 +0000	229	2	0.01	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519687933742153728	Yes! I think they put the air conditioning on! #ipres2014	2014-10-08 03:17 +0000	146	1	0.01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519687682033586177	Tools take time to mature @digitalfay. #ipres2014	2014-10-08 03:16 +0000	143	4	0.03	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519685148971790336	3. Tools need a full time champion. Steve Abrams. #ipres2014	2014-10-08 03:06 +0000	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519685060916563969	2. Be realistic in technical goals. Steve Abrams. #ipres2014	2014-10-08 03:05 +0000	123	1	0.01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519684899771392000	1. Preservation is organisational. Steve Abrams. #ipres2014	2014-10-08 03:05 +0000	197	3	0.02	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519684161175425025	"By JHOVE it's hot in here. #ipres2014 'Tools that ""just work""' session."	2014-10-08 03:02 +0000	412	11	0.03	3	1	1	0	0	0	6	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519683111710248961	Heads up @richardlehane #NLA's Software/FMT mapping tool in #ipres2014 poster session tomorrow. By Mark Pearson/Gareth Kay.	2014-10-08 02:58 +0000	478	9	0.02	3	1	0	0	0	0	4	0	1	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519657740277260288	.@prwheatley @mopennock including what documentation you think is important to see for benefit of community! #ipres2014	2014-10-08 01:17 +0000	171	1	0.01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519657570768666626	.@prwheatley @mopennock I think that's why we're all here though! What is this if not an opportunity to feedback? #ipres2014	2014-10-08 01:16 +0000	158	7	0.04	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519656637905113091	Freebase as a source of #digitalpreservation information. #ipres2014 http://t.co/873jiNHkLv	2014-10-08 01:12 +0000	681	35	0.05	7	0	2	0	3	3	8	0	11	0	0	0	1	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519656093169889282	.@mopennock @prwheatley lobby the powers that be on the project perhaps. #ipres2014	2014-10-08 01:10 +0000	145	4	0.03	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519655893797834755	.@mopennock @prwheatley a valuable resource! Perhaps even to build on if necessary. #ipres2014	2014-10-08 01:09 +0000	148	2	0.01	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519655118837268481	.@prwheatley @mopennock we do need uses cases though! 'Define *useful* information' fortunately DPTR has use case documentation. #ipres2014	2014-10-08 01:06 +0000	178	11	0.06	0	2	0	0	0	1	8	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519653743717928961	Straddling streams is difficult with different time slots... #ipres2014 think one stream is already complete... :(	2014-10-08 01:01 +0000	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519652324726161409	"Eclipse times #ipres2014 8.15pm, total eclipse 9.25pm-10.25pm, eclipse ends 11.35pm."	2014-10-08 00:55 +0000	127	6	0.05	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519650063681744897	A truly linked 'jigsaw' registry? Describing #digitalpreservation technical environment. #ipres2014 http://t.co/w4i0Fy1oh8	2014-10-08 00:46 +0000	311	8	0.03	1	0	1	0	0	1	2	0	3	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519648885111656451	.@morethangrass after signing a non-Twitter NDA?! #ipres2014	2014-10-08 00:42 +0000	119	9	0.08	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519648415928430593	DPTR's view of why we need a technical registry. #ipres2014 http://t.co/B2MlBKGtL9	2014-10-08 00:40 +0000	404	31	0.08	3	1	2	0	3	4	8	0	9	0	0	0	1	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519647199538319360	"Registry from Preservica, not 'open' yet? #ipres2014"	2014-10-08 00:35 +0000	122	3	0.02	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519645696442384384	.@beet_keeper theory of quads to subsume *all* peers' data. And filter on org in different parts of registry. #ipres2014	2014-10-08 00:29 +0000	101	1	0.01	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519645247681224704	Peer to peer approach with audit trail in Preservica technical registry. Based on triple store. Would have preferred quads. #LOD #ipres2014	2014-10-08 00:27 +0000	119	6	0.05	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519643746674036737	A blast from my past! #digitalpreservation #ipres2014 http://t.co/uQc9mNRCoS	2014-10-08 00:21 +0000	137	8	0.06	0	0	0	0	2	0	2	0	4	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519642970060898304	"Requirements for an ideal technical registry, Preservica. #digitalpreservation #ipres2014 http://t.co/dG8dSUMx77"	2014-10-08 00:18 +0000	226	7	0.03	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519642522155360256	One short of a Barbara-shop Quartet? 3 Barbaras of #digitalpreservation. #ipres2014 (cc.@BarbaraREED @BarbaraSierman) http://t.co/r5Pe3zMwUa	2014-10-08 00:16 +0000	147	3	0.02	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519631679090991105	".@hendysh that is if you can't meet physically, bump into people, and generate more organic(?) acts of innovation. #ipres2014"	2014-10-07 23:33 +0000	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519631258687512576	Be diverse in your digital connections to increase novelty of innovation. Paraphrasing @hendysh (correctly I hope) #ipres2014	2014-10-07 23:32 +0000	865	21	0.02	4	1	1	2	0	4	9	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519629224290684928	Key messages from @hendysh... #ipres2014 http://t.co/Lslj7oarN1	2014-10-07 23:23 +0000	226	6	0.03	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519628922476969984	Purdy! Open innovation globally across the years... #ipres2014 http://t.co/Zr8hmkr8MO	2014-10-07 23:22 +0000	417	17	0.04	4	0	0	0	3	1	3	0	6	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519627944403030016	If not. First principle for #ipres2015! #ipres2014	2014-10-07 23:18 +0000	117	10	0.09	0	0	2	0	0	4	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519627812173406208	Let's hope we've plenty of diversity in the room! #ipres2014	2014-10-07 23:18 +0000	177	7	0.04	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519627685736095744	@CassPF @richardlehane a reason #aranzasa was so useful? Connecting with people more diverse? #ipres2014	2014-10-07 23:17 +0000	100	9	0.09	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519624981018206209	What is the correlation between patents that exist/are created and useful products that have made it to the market? That we use? #ipres2014	2014-10-07 23:07 +0000	159	5	0.03	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519621715475722240	I've never understood patents. I just publish things for people to use... #ipres2014	2014-10-07 22:54 +0000	123	4	0.03	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/519621062091223044	...aaaaannnnnddddd.... #digitalpreservation #ipres2014	2014-10-07 22:51 +0000	91	3	0.03	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
5.19E+17	https://twitter.com/beet_keeper/status/519361142116712448	"Ross King comment that code is 10% unit testing the rest, and often requires a sponsored project to practically become commercial.#ipres2014"	2014-10-07 05:38 +0000	580	9	0.02	2	0	0	0	0	2	5	0	0	0	0	0	0	0	0
5.19E+17	https://twitter.com/beet_keeper/status/519360864667725824	".@beet_keeper Ex Libris offer to accept new unit test requests, if asked for. E.g. To help monitor for code regressions. #ipres2014"	2014-10-07 05:37 +0000	167	2	0.01	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
5.19E+17	https://twitter.com/beet_keeper/status/519360308393947136	"Unit testing question of system showcase. All the right words, Travis, Jenkins, etc. Roda, Preservica, Rosetta. #ipres2014"	2014-10-07 05:35 +0000	192	6	0.03	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0
5.19E+17	https://twitter.com/beet_keeper/status/519352113860603904	"Wrapper format in Rosetta for adding tools for characterisation, etc. #ipres2014"	2014-10-07 05:02 +0000	278	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
